customer_id,email_address,first_name,last_name,sign_up_date,gender,state
1,tucmor@gmail.com,Tucker,Mora,,Male,Arkansas
2,cruwol@gmail.com,Cruz,Wolffe,,Male,New York
3,litsim@gmail.com,Litzy,Sims,,Female,New Mexico
4,tatkel12@yahoo.com,Tate,Keller,6/23/17,Male,Massachusetts
5,jaycab@gmail.com,Jayda,Cabrera,,Female,California
6,nicfie@gmail.com,Nick,Fields,4/26/17,Male,Massachusetts
7,tallin@gmail.com,Taliya,Lin,5/1/18,Female,Virginia
8,domwil12@yahoo.com,Dominic,Wilkerson,,Male,New Hampshire
9,tromcb@gmail.com,Troy,McBride,1/20/19,Male,New Jersey
10,rydkey@gmail.com,Ryder,Key,11/10/17,Male,Utah
11,jasjac@gmail.com,Jasmine,Jacobson,11/26/16,Female,Washington
12,jabfra12@yahoo.com,Jabari,Frazier,12/5/17,Male,New Hampshire
13,lesfre@gmail.com,Lesly,French,3/7/19,Female,Montana
14,wayrom@gmail.com,Waylon,Roman,7/3/17,Male,Nevada
15,lyrtyl@gmail.com,Lyric,Tyler,3/3/19,Male,Indiana
16,octman12@yahoo.com,Octavio,Manning,5/6/17,Male,Nevada
17,ailpea@gmail.com,Aileen,Pearson,,Female,New York
18,jesgon@gmail.com,Jesse,Gonzales,10/11/17,Male,Hawaii
19,mitgro@gmail.com,Mitchell,Gross,,Male,Mississippi
20,adobon12@yahoo.com,Adonis,Bond,8/5/17,Male,Georgia
21,olihan@gmail.com,Oliver,Hancock,8/12/18,Male,Maryland
22,thodic@gmail.com,Thomas,Dickerson,,Male,Georgia
24,dylcer12@yahoo.com,Dylan,Cervantes,,Male,California
26,jamgil@gmail.com,Jamie,Gill,3/25/18,Male,California
27,deaher@gmail.com,Deacon,Herrera,,Male,Massachusetts
28,tysjim12@yahoo.com,Tyson,Jimenez,1/26/18,Male,California
29,skygre@hotmail.com,Skyler,Gregory,5/14/17,Male,Maine
30,jayden@gmail.com,Jayden,Dennis,9/27/17,Male,California
31,marwel@gmail.com,Marquis,Wells,6/10/17,Male,Massachusetts
32,browil12@yahoo.com,Bronson,Wilkinson,8/31/18,Male,California
33,romwil@hotmail.com,Roman,Wiley,12/20/17,Male,New Hampshire
34,kaibel@gmail.com,Kai,Beltran,7/26/17,Male,New York
35,shayod@gmail.com,Shamar,Yoder,,Unknown,Unknown
36,abrfue12@yahoo.com,Abraham,Fuentes,,Male,New York
37,kenzha@hotmail.com,Kenneth,Zhang,4/5/18,Male,Nevada
38,augmcm@gmail.com,August,Mcmillan,,Male,New York
39,brusal@gmail.com,Bruno,Salazar,5/24/17,Male,Nevada
40,keacor12@yahoo.com,Keagan,Cortez,1/1/18,Male,Rhode Island
41,brerom@hotmail.com,Brenton,Roman,5/1/18,Male,Nevada
42,raivar@gmail.com,Raiden,Vargas,,Male,New York
43,isaand@gmail.com,Isaiah,Andrews,,Male,Hawaii
44,lawobr12@yahoo.com,Lawson,Obrien,,Male,New Jersey
45,brysal@hotmail.com,Bryce,Salinas,,Unknown,Unknown
46,zayber@gmail.com,Zayden,Berry,9/13/18,Male,New Jersey
47,lanmac@gmail.com,Landin,Mack,8/14/17,Male,California
48,easyor12@yahoo.com,Easton,York,4/20/18,Male,New Jersey
49,jamlow@hotmail.com,Jamari,Lowe,6/19/17,Male,Minnesota
50,criwoo@gmail.com,Cristofer,Wood,3/8/18,Male,South Carolina
51,theaus@gmail.com,Theodore,Austin,2/13/18,Male,California
52,tribla12@yahoo.com,Triston,Blankenship,,Male,South Carolina
53,jaeest@hotmail.com,Jaeden,Estes,,Male,New Mexico
54,brasan@gmail.com,Braydon,Sandoval,,Male,Indiana
55,isista@gmail.com,Isiah,Stanley,10/10/18,Male,California
56,chawee12@yahoo.com,Chance,Weeks,6/14/18,Male,Texas
57,savhar@hotmail.com,Savion,Harmon,8/13/18,Male,New York
58,lucbec@gmail.com,Lucian,Beck,5/13/17,Male,Texas
59,angval@gmail.com,Angel,Valencia,11/26/16,Male,New York
60,suljua12@yahoo.com,Sullivan,Juarez,,Male,Texas
61,charam@hotmail.com,Charles,Ramirez,9/23/16,Male,New York
62,ronpre@gmail.com,Ronnie,Preston,11/16/17,Male,Virginia
63,kaysum@gmail.com,Kayden,Summers,8/4/18,Male,New York
64,barwil12@yahoo.com,Baron,Wiley,8/21/17,Male,Pennsylvania
65,adawal@hotmail.com,Adan,Walker,10/14/17,Male,New York
66,corhol@gmail.com,Cory,Holmes,3/31/17,Male,Pennsylvania
67,aldbry@gmail.com,Aldo,Bryan,7/28/18,Male,New Jersey
68,dalsta12@yahoo.com,Dallas,Stark,9/3/18,Male,Minnesota
69,paxcas@hotmail.com,Paxton,Castro,,Male,New Jersey
70,wyaboo@gmail.com,Wyatt,Boone,5/25/18,Male,Florida
71,benpot@gmail.com,Bennett,Potts,8/14/18,Male,New Jersey
72,kyapat12@yahoo.com,Kyan,Patton,,Male,Tennessee
73,shamel@hotmail.com,Shane,Melton,10/28/16,Male,Alaska
74,alvjoy@gmail.com,Alvin,Joyce,12/28/16,Male,Ohio
75,gerdav@gmail.com,Gerald,Davidson,,Male,South Carolina
76,alahaa12@yahoo.com,Alan,Haas,,Male,Missouri
77,bresav@hotmail.com,Brett,Savage,10/16/16,Male,Indiana
78,lenril@gmail.com,Lennon,Riley,4/28/17,Male,Kansas
79,tysbla@gmail.com,Tyshawn,Blanchard,6/10/17,Male,Indiana
80,frenea12@yahoo.com,Freddy,Neal,3/31/17,Male,Montana
81,leovaz@hotmail.com,Leonardo,Vazquez,8/12/18,Male,Texas
82,brysal@gmail.com,Bryson,Salas,,Male,Michigan
83,zachua@gmail.com,Zackery,Huang,11/8/17,Male,Texas
84,robjoy12@yahoo.com,Roberto,Joyce,11/8/17,Unknown,North Carolina
85,corgai@hotmail.com,Corey,Gaines,,Male,Virginia
86,manhes@gmail.com,Manuel,Hess,8/11/18,Male,North Carolina
87,juskel@gmail.com,Justus,Kelley,2/20/17,Male,Virginia
88,elvhua12@yahoo.com,Elvis,Huang,,Male,Washington
89,jesbon@hotmail.com,Jessie,Bond,,Unknown,Unknown
90,efrweb@gmail.com,Efrain,Webb,5/25/17,Male,Oregon
91,jaypen@gmail.com,Jayvon,Pena,8/29/18,Male,Minnesota
92,dermcc12@yahoo.com,Dereon,Mccoy,9/23/17,Male,Alabama
93,janpit@hotmail.com,Jan,Pittman,,Male,Colorado
94,oswari@gmail.com,Oswaldo,Arias,,Male,Mississippi
95,crumck@gmail.com,Cruz,Mckee,4/13/18,Male,Florida
96,braglo12@yahoo.com,Braylen,Glover,4/28/17,Male,Illinois
97,chahue@hotmail.com,Chaz,Huerta,1/8/18,Male,Ohio
98,marbur@gmail.com,Marley,Burch,3/30/17,Male,Kentucky
99,rylban@gmail.com,Ryland,Banks,,Male,Missouri
100,rasbau12@yahoo.com,Rashad,Bautista,2/26/18,Male,Massachusetts
101,aloper@hotmail.com,Alonzo,Perez,,Male,Kansas
102,mighal@gmail.com,Miguel,Hale,3/28/17,Male,Massachusetts
103,joehes@gmail.com,Joe,Hester,,Male,Montana
104,levpar12@yahoo.com,Levi,Parks,4/28/17,Male,Massachusetts
105,margri@hotmail.com,Marcus,Griffith,1/10/18,Male,Michigan
106,cohfow@gmail.com,Cohen,Fowler,,Male,New Hampshire
107,bosphe@gmail.com,Boston,Phelps,,Male,Delaware
108,benper12@yahoo.com,Bentley,Perez,,Male,New Hampshire
109,jasrig@hotmail.com,Jase,Riggs,11/1/16,Male,North Carolina
110,aidsav@gmail.com,Aiden,Savage,12/16/17,Male,Nevada
111,phibes@gmail.com,Phillip,Best,,Male,Washington
112,ernwel12@yahoo.com,Ernest,Wells,6/24/17,Male,Nevada
113,rivhow@hotmail.com,River,Howell,9/22/17,Male,Oregon
114,jaycha@gmail.com,Jaylan,Chapman,,Male,Nevada
115,ellhor@gmail.com,Elliott,Horne,,Male,Iowa
116,sagboo12@yahoo.com,Sage,Booker,12/13/17,Male,Texas
117,neiwal@hotmail.com,Neil,Walters,11/9/16,Male,Alabama
118,jasmal@gmail.com,Jasiah,Malone,7/20/18,Male,Rhode Island
119,jaystr@gmail.com,Jaylon,Strickland,,Male,Illinois
120,jondav12@yahoo.com,Jonathon,Davis,9/6/18,Male,California
121,axecun@hotmail.com,Axel,Cunningham,3/7/17,Male,Vermont
122,jaymci@gmail.com,Jaylen,Mcintosh,,Male,California
123,ranand@gmail.com,Randall,Andrews,6/15/18,Male,Kentucky
124,geoval12@yahoo.com,Geovanni,Valentine,2/14/18,Male,California
125,lucwil@hotmail.com,Luca,Williamson,,Male,Massachusetts
126,kalmur@gmail.com,Kale,Murphy,10/19/17,Male,California
127,trinun@gmail.com,Tripp,Nunez,8/3/17,Male,Massachusetts
128,thairw12@yahoo.com,Thaddeus,Irwin,11/8/16,Male,California
129,ashras@hotmail.com,Ashton,Rasmussen,1/12/18,Male,New Hampshire
130,emmsal@gmail.com,Emmett,Salazar,9/17/17,Male,New York
131,fersul@gmail.com,Fernando,Sullivan,12/17/17,Male,Utah
132,armedw12@yahoo.com,Armando,Edwards,9/8/18,Male,Connecticut
133,hugpet@hotmail.com,Hugo,Petty,,Male,New Hampshire
134,corcer@gmail.com,Corbin,Cervantes,7/2/17,Unknown,New York
135,jaywol@gmail.com,Jaydon,Wolf,,Male,Nevada
136,marpac12@yahoo.com,Mario,Pacheco,2/6/17,Male,New York
137,germoo@hotmail.com,German,Moody,,Male,Nevada
138,daypat@gmail.com,Dayton,Patel,9/18/17,Male,New York
139,tyvan@gmail.com,Ty,Vang,,Male,Hawaii
140,zecdic12@yahoo.com,Zechariah,Dickerson,,Male,New Jersey
141,sorbec@hotmail.com,Soren,Becker,8/22/18,Male,Georgia
142,layter@gmail.com,Layton,Terrell,10/18/16,Male,New Jersey
143,flechu@gmail.com,Fletcher,Church,7/13/18,Male,Georgia
144,jamber12@yahoo.com,Jamir,Berg,11/26/17,Male,New Jersey
145,matpin@hotmail.com,Mateo,Pineda,10/8/18,Male,California
146,mavtre@gmail.com,Maverick,Trevino,7/19/18,Male,Alaska
147,milmar@gmail.com,Milo,Marshall,1/4/18,Male,California
148,kylagu12@yahoo.com,Kyle,Aguirre,,Male,South Carolina
149,andsav@hotmail.com,Andre,Savage,,Male,New Mexico
150,yaegra@gmail.com,Yael,Graham,8/19/18,Male,Indiana
151,tremil@gmail.com,Trenton,Mills,8/3/18,Male,California
152,leolyn12@yahoo.com,Leon,Lynch,4/14/18,Male,Indiana
153,kinval@hotmail.com,King,Valencia,,Male,California
154,jaqcle@gmail.com,Jaquan,Clements,12/24/16,Male,Texas
155,eliatk@gmail.com,Elian,Atkins,,Male,New York
156,jamand12@yahoo.com,Jamarion,Anderson,12/30/16,Male,Texas
157,jammor@hotmail.com,Jamal,Mora,9/26/17,Male,New York
158,samgra@gmail.com,Sam,Graham,10/14/17,Male,Virginia
159,domwya@gmail.com,Dominik,Wyatt,,Male,New York
160,dracar12@yahoo.com,Draven,Carpenter,9/11/18,Male,Virginia
161,guihen@hotmail.com,Guillermo,Henderson,1/11/17,Male,New York
162,paurod@gmail.com,Paul,Rodgers,8/6/17,Male,Pennsylvania
163,harsim@gmail.com,Harry,Simmons,10/5/17,Male,New York
164,rogboy12@yahoo.com,Rogelio,Boyle,2/27/18,Male,Minnesota
165,bracas@hotmail.com,Branson,Castro,11/22/17,Male,New Jersey
166,artnun@gmail.com,Arturo,Nunez,,Unknown,Unknown
167,carbea@gmail.com,Carmelo,Beard,,Male,New Jersey
168,antrei12@yahoo.com,Antwan,Reilly,11/17/17,Male,Florida
169,brochu@hotmail.com,Brodie,Chung,,Male,New Jersey
170,luiste@gmail.com,Luis,Stephens,10/13/17,Male,Ohio
171,danken@gmail.com,Dangelo,Kent,2/14/18,Male,South Carolina
172,nicmar12@yahoo.com,Nickolas,Marshall,4/11/17,Male,Missouri
